Project: UFH Alice Campus - Finance Offices Conversion (ADAPTIVE),,,,,,,,,,
Project Number: UFH-FINANCE-2026-ADAPTIVE,,,,,,,,,,
Date: 2026-01-08 22:28:59,,,,,,,,,,
Software: DELLQS-AI,,,,,,,,,,
,,,,,,,,,,
Item Number,Section,Subsection,Description,Unit,Quantity,Rate,Amount,Calculation Notes,Reference Drawing,Measurement Rule
10.5.1,BILL 10 - MASONRY,10.5 LINTELS,"Fabricated steel lintels, various sizes, over openings",No,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
10.6.1,BILL 10 - MASONRY,10.6 BRICKFORCE,"Brickforce reinforcement, 75mm wide, in every alternate course to loadbearing blockwork",m,480.0,0.0,0.0,,,ASAQS SSM7 / DQRules
10.6.2,BILL 10 - MASONRY,10.6 BRICKFORCE,"Brickforce reinforcement, 75mm wide, in every fourth course to non-loadbearing blockwork",m,320.0,0.0,0.0,,,ASAQS SSM7 / DQRules
10.7.1,BILL 10 - MASONRY,10.7 DRYWALL PARTITIONS,"Gyproc drywall partitions, 110mm thick, double sided with insulation, complete with all framing, angles and jointing",m2,82.0,0.0,0.0,,,ASAQS SSM7 / DQRules
W.1.1,WATERPROOFING,W.1 DAMP PROOF MEMBRANE,"250 micron polyethylene DPM to SANS 952-1985 Type C, lapped 150mm at joints, under surface beds",m2,198.0,0.0,0.0,,,ASAQS SSM7 / DQRules
W.2.1,WATERPROOFING,W.2 WET AREA WATERPROOFING,"Torch-on waterproofing membrane to ablution floors, turned up at edges 100mm",m2,28.0,0.0,0.0,,,ASAQS SSM7 / DQRules
W.2.2,WATERPROOFING,W.2 WET AREA WATERPROOFING,Waterproof membrane/coating to ablution walls to 1800mm height,m2,68.0,0.0,0.0,,,ASAQS SSM7 / DQRules
W.3.1,WATERPROOFING,W.3 SUNDRIES,Waterproof seal to floor/wall junctions in wet areas,m,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
W.3.2,WATERPROOFING,W.3 SUNDRIES,Waterproof seal around floor wastes and pipe penetrations,No,14.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.1.1,ROOFING,R.1 ROOF COVERING,"BMI Coverland 420 x 330mm Elite concrete roof tiles, Colour Slate Grey, installed as per strict Manufacturer's specifications including all clips, fixings and underlays, on timber battens",m2,295.0,0.0,0.0,CORRECTED from Klip-Lok steel - BMI tiles verified from adaptive extraction,,ASAQS SSM7 / DQRules
R.2.1,ROOFING,R.2 FLASHINGS,"BMI Coverland 420 x 200mm Elite ridge tiles, Colour Slate Grey, installed as per Manufacturer's specifications",m,32.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.2.2,ROOFING,R.2 FLASHINGS,Lead flashing 300mm girth to abutments,m,45.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.2.3,ROOFING,R.2 FLASHINGS,Lead flashing stepped to gable ends,m,28.0,0.0,0.0,NEW - from adaptive,,ASAQS SSM7 / DQRules
R.2.4,ROOFING,R.2 FLASHINGS,Valley flashing including valley trough,m,12.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.2.5,ROOFING,R.2 FLASHINGS,"Hip tiles, BMI Coverland Elite, Slate Grey",m,23.0,0.0,0.0,NEW - from adaptive,,ASAQS SSM7 / DQRules
R.3.1,ROOFING,R.3 RAINWATER GOODS,"Aluminium seamless gutter 125 x 125 x 0.9mm thick, ColourTech G4 coating, including dual-purpose brackets at 600mm centres",m,54.0,0.0,0.0,+10m verified from adaptive,,ASAQS SSM7 / DQRules
R.3.2,ROOFING,R.3 RAINWATER GOODS,Extra over for gutter mitred angles,No,6.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.3.3,ROOFING,R.3 RAINWATER GOODS,"Extra over for gutter stop ends, riveted",No,6.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.3.4,ROOFING,R.3 RAINWATER GOODS,Extra over for gutter outlets,No,6.0,0.0,0.0,+2 verified from roof plan,,ASAQS SSM7 / DQRules
R.3.5,ROOFING,R.3 RAINWATER GOODS,"Aluminium rainwater downpipes 80mm diameter, including brackets, bends and connections",m,21.0,0.0,0.0,+8m verified from sections,,ASAQS SSM7 / DQRules
R.3.6,ROOFING,R.3 RAINWATER GOODS,Aluminium rainwater shoes,No,6.0,0.0,0.0,+2 for additional downpipes,,ASAQS SSM7 / DQRules
R.3.7,ROOFING,R.3 RAINWATER GOODS,Aluminium valley gutter to BMI specifications,m,10.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.4.1,ROOFING,R.4 ROOF WATERPROOFING,"Torch-on waterproofing membrane to flat roof areas (clerestory), 2-layer system including primer",m2,35.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.4.2,ROOFING,R.4 ROOF WATERPROOFING,Extra over for upstands and kerbs,m,20.0,0.0,0.0,,,ASAQS SSM7 / DQRules
R.5.1,ROOFING,R.5 INSULATION,"135mm Think Pink Aerolite glass fibre insulation blanket to roof, laid over ceiling",m2,282.0,0.0,0.0,+17 from accurate ceiling area,,ASAQS SSM7 / DQRules
R.6.1,ROOFING,R.6 PROVISIONAL SUM,"P.Sum for roof timber structure (trusses, purlins, battens, bracing) as per Structural Engineer's details - INCREASED FOR CONCRETE TILE LOAD",P.Sum,180000.0,0.0,0.0,Increased from R150k for heavier tile load,,ASAQS SSM7 / DQRules
CJ.1.1,CARPENTRY & JOINERY,CJ.1 DOORS,"Timber flush door D01, 900x2100mm, complete with hardwood frame and ironmongery (3 hinges, lever handles, mortice lock, stop)",No,9.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.1.2,CARPENTRY & JOINERY,CJ.1 DOORS,"Timber flush door D02, 800x2100mm, complete with hardwood frame and ironmongery",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.1.3,CARPENTRY & JOINERY,CJ.1 DOORS,"Timber flush door D03, 700x2100mm (WC type), with indicator lock and ironmongery",No,7.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.1.4,CARPENTRY & JOINERY,CJ.1 DOORS,"Steel security door D04, 900x2100mm, to strong rooms, complete with heavy duty frame, multi-point locking system",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.1.5,CARPENTRY & JOINERY,CJ.1 DOORS,"Timber flush door D05, 820x2100mm, complete with hardwood frame and ironmongery",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.1.6,CARPENTRY & JOINERY,CJ.1 DOORS,"Timber flush door D06, 750x2100mm, complete with hardwood frame and ironmongery",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.1.7,CARPENTRY & JOINERY,CJ.1 DOORS,"Timber door D07, 900x2400mm, full height",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.1.8,CARPENTRY & JOINERY,CJ.1 DOORS,"Timber door D08, 800x2100mm",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.2.1,CARPENTRY & JOINERY,CJ.2 GATES,"Steel security gate G01, 1200x2100mm, complete with frame, heavy duty hinges, gate lock, drop bolts",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.2.2,CARPENTRY & JOINERY,CJ.2 GATES,"Steel security gate G02, 900x2100mm, complete as before",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.3.1,CARPENTRY & JOINERY,CJ.3 BUILT-IN JOINERY,"Security desk unit JT01, complete as drawing A-(74)6001, Melawood carcass, MDF doors, EeziQuartz countertop, including all fittings, locks and finishes",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.3.2,CARPENTRY & JOINERY,CJ.3 BUILT-IN JOINERY,"Kitchenette unit JT02, complete as drawing A-(74)6002, Melawood carcass, MDF doors and drawers, EeziQuartz countertop and splashback, including all fittings (excluding sink and mixer)",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.4.1,CARPENTRY & JOINERY,CJ.4 SKIRTINGS,"Capco Gamma Base Reveal 75 skirting (Type 01), concealed fixed with bonding agent",m,210.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.4.2,CARPENTRY & JOINERY,CJ.4 SKIRTINGS,"Capco Gamma Flat Skirting 76 (Type 02), concealed fixed with bonding agent",m,98.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.4.3,CARPENTRY & JOINERY,CJ.4 SKIRTINGS,Extra over for internal corners,No,52.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.4.4,CARPENTRY & JOINERY,CJ.4 SKIRTINGS,Extra over for external corners,No,14.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CJ.4.5,CARPENTRY & JOINERY,CJ.4 SKIRTINGS,Extra over for stop ends,No,40.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CE.1.1,CEILINGS,CE.1 SUSPENDED CEILINGS,"600 x 600 x 15mm mineral fiber acoustic ceiling tiles (Ce.01) on 24mm exposed aluminium T-bar suspension grid system, including all hangers, main runners, cross tees, wall angles and accessories, fixed at 2700mm AFFL - general areas",m2,252.0,0.0,0.0,+13 verified,,ASAQS SSM7 / DQRules
CE.1.2,CEILINGS,CE.1 SUSPENDED CEILINGS,"600 x 600 x 15mm vinyl faced moisture resistant ceiling tiles (Ce.02) on concealed aluminium suspension grid, complete as before - wet areas",m2,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CE.2.1,CEILINGS,CE.2 BULKHEADS,"Gypsum plasterboard bulkhead 400mm wide x 300mm drop (Type 01) on light steel framing, jointed and finished ready for painting - perimeter",m,72.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CE.2.2,CEILINGS,CE.2 BULKHEADS,"Gypsum plasterboard bulkhead 600mm wide x 400mm drop (Type 02) on light steel framing, complete as before - over ring beams",m,48.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CE.2.3,CEILINGS,CE.2 BULKHEADS,"Gypsum plasterboard bulkhead 300mm wide x 200mm drop (Type 03) on light steel framing, complete as before - internal partitions",m,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CE.2.4,CEILINGS,CE.2 BULKHEADS,12.5mm gypsum plasterboard to soffits of bulkheads including jointing and finishing,m2,70.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CE.3.1,CEILINGS,CE.3 ACCESS PANELS,600 x 600mm hinged metal access panel in suspended ceiling including frame and trim,No,8.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CE.3.2,CEILINGS,CE.3 ACCESS PANELS,450 x 450mm plastic hinged access panel in suspended ceiling including frame and trim,No,4.0,0.0,0.0,,,ASAQS SSM7 / DQRules
CE.4.1,CEILINGS,CE.4 SHADOW LINES,20mm shadow line detail at wall/ceiling junction formed in suspended ceiling grid system,m,285.0,0.0,0.0,,,ASAQS SSM7 / DQRules
FL.1.1,FLOOR COVERINGS,FL.1 FLOOR TILES,"600 x 600 x 10mm glazed porcelain floor tiles (Fl.01), fixed with tile adhesive, 3mm grouted joints, colour to architect's selection - general areas",m2,365.0,0.0,0.0,+15 verified from floor finishes layout,,ASAQS SSM7 / DQRules
FL.1.2,FLOOR COVERINGS,FL.1 FLOOR TILES,"300 x 300 x 9mm anti-slip ceramic floor tiles (Fl.02), fixed with tile adhesive, 3mm grouted joints - wet areas",m2,32.0,0.0,0.0,,,ASAQS SSM7 / DQRules
FL.2.1,FLOOR COVERINGS,FL.2 FLOOR PREPARATION,Prepare surface bed to receive floor tiles including grinding and priming,m2,397.0,0.0,0.0,,,ASAQS SSM7 / DQRules
FL.3.1,FLOOR COVERINGS,FL.3 TILE SKIRTINGS,100mm high coved ceramic tile skirting to match floor tiles (Type 01),m,102.0,0.0,0.0,,,ASAQS SSM7 / DQRules
FL.3.2,FLOOR COVERINGS,FL.3 TILE SKIRTINGS,100mm high straight ceramic tile skirting (Type 02),m,132.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.1.1,WALL FINISHES & PAINTING,WF.1 PLASTERING,"15mm thick cement plaster (1:4) wood float finish to new blockwork walls internally including dubbing out, rounded internal angles and preparing for painting",m2,205.0,0.0,0.0,+17 verified,,ASAQS SSM7 / DQRules
WF.1.2,WALL FINISHES & PAINTING,WF.1 PLASTERING,"Hack off defective plaster and make good to existing walls including dubbing out, feathering edges and preparing for painting",m2,42.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.1.3,WALL FINISHES & PAINTING,WF.1 PLASTERING,15mm thick cement plaster to exposed faces of ring beams including rounded arrises and preparing for painting,m2,48.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.2.1,WALL FINISHES & PAINTING,WF.2 WALL TILING,"300 x 600 x 9mm glazed ceramic wall tiles to SANS 1285, fixed with TAL Professional tile adhesive, grouted with TAL Fine Epoxy grout in 3mm joints, colour to architect's selection - ablution walls full height to 2100mm AFFL",m2,102.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.2.2,WALL FINISHES & PAINTING,WF.2 WALL TILING,Ditto but 600mm high splashback to kitchenette,m2,3.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.2.3,WALL FINISHES & PAINTING,WF.2 WALL TILING,Aluminium straight edge trim to exposed tile edges including bedding in adhesive,m,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.3.1,WALL FINISHES & PAINTING,WF.3 PAINTING - WALLS,"Prepare, apply 1 coat DULUX Trade Alkali Resistant Primer (full coat) and 2 coats DULUX Trade 100 Low Sheen to new plastered/drywalled walls internally (WF01), colour to architect's selection",m2,285.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.3.2,WALL FINISHES & PAINTING,WF.3 PAINTING - WALLS,"Prepare, apply 1 coat DULUX Trade Alkali Resistant Primer (patching) and 2 coats DULUX Trade 100 Low Sheen to existing plastered walls internally (WF02), colour to architect's selection",m2,145.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.4.1,WALL FINISHES & PAINTING,WF.4 PAINTING - CEILINGS/BULKHEADS,"Prepare, apply 1 coat primer and 2 coats DULUX Trade 100 Low Sheen to gypsum plasterboard bulkhead soffits",m2,70.0,0.0,0.0,,,ASAQS SSM7 / DQRules
WF.4.2,WALL FINISHES & PAINTING,WF.4 PAINTING - CEILINGS/BULKHEADS,"Prepare, apply 1 coat primer and 2 coats DULUX Trade 100 Low Sheen to gypsum plasterboard bulkhead sides",m2,56.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.1.1,GLAZING,GL.1 ALUMINIUM WINDOWS,"Aluminium window type W01, 600 x 2805mm, side hung, H-SYSTEM flush glazing or equal, 60-80um powder coated finish, complete with friction stays, handles, weatherstripping, 6.38mm clear laminated safety glass",No,3.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.1.2,GLAZING,GL.1 ALUMINIUM WINDOWS,"Aluminium window type W02, 350 x 900mm, side hung opening, complete as before",No,12.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.1.3,GLAZING,GL.1 ALUMINIUM WINDOWS,"Aluminium window type W03, 900 x 1200mm, top hung opening, complete as before",No,5.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.1.4,GLAZING,GL.1 ALUMINIUM WINDOWS,"Aluminium window type W04, 1200 x 1500mm, side hung opening, complete as before",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.1.5,GLAZING,GL.1 ALUMINIUM WINDOWS,"Aluminium window type W05, 1500 x 1200mm, top hung opening, complete as before",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.1.6,GLAZING,GL.1 ALUMINIUM WINDOWS,"Aluminium window type W06, 600 x 600mm, fixed glazing, complete as before",No,8.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.1,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF01, 1275 x 400mm, fixed glazing, complete with 10.38mm laminated safety glass",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.2,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF02, 2400 x 2400mm, fixed glazing with transom, complete as before",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.3,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF03, 1800 x 2400mm, single door with sidelight, including door closer, floor spring, handles",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.4,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF04, 2400 x 2400mm, double doors with sidelights, including closers, floor springs, handles, panic hardware",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.5,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF05, 1200 x 2400mm, fixed full height glazing",No,5.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.6,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF06, 3000 x 1200mm, counter screen with transaction opening",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.7,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF07, 1500 x 2100mm, fixed glazing",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.8,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF08, 900 x 2400mm, fixed full height glazing",No,4.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.2.9,GLAZING,GL.2 ALUMINIUM SHOPFRONTS,"Aluminium shopfront type SF09, 3600 x 2400mm, entrance screen with single door",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.3.1,GLAZING,GL.3 SUNDRIES,Approved polysulphide sealant to perimeter of aluminium frames,m,285.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.3.2,GLAZING,GL.3 SUNDRIES,Safety manifestation to glass doors and floor-to-ceiling panels to SANS 10400 requirements,m2,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
GL.4.1,GLAZING,GL.4 PC SUM,PC Sum for specialist glazing works if glass specification varies,P.Sum,50000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
MW.1.1,METALWORK,MW.1 GATES,"Aluminium security gate type G01, 1200 x 2100mm high, powder coated finish, complete with frame, infill panels, heavy duty hinges (3 No.), gate lock, drop bolts, fixed in prepared opening",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
MW.1.2,METALWORK,MW.1 GATES,"Aluminium security gate type G02, 900 x 2100mm high, complete as before",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
MW.2.1,METALWORK,MW.2 STRUCTURAL STEEL,"100 x 100 x 3mm RHS steel post, 2700mm long, hot dip galvanized and powder coated, including base plate, holding down bolts and grouting - shopfront supports",No,4.0,0.0,0.0,,,ASAQS SSM7 / DQRules
MW.3.1,METALWORK,MW.3 BOLLARDS,"Precast concrete bollard 150mm dia x 900mm high above ground, including 300mm embedment in 300 x 300 x 400mm concrete base grade 25/19, natural finish or painted",No,9.0,0.0,0.0,,,ASAQS SSM7 / DQRules
MW.4.1,METALWORK,MW.4 SUNDRIES,Galvanized steel frame anchors for aluminium door and window frames,No,204.0,0.0,0.0,,,ASAQS SSM7 / DQRules
MW.4.2,METALWORK,MW.4 SUNDRIES,"Heavy duty cast iron manhole cover 600 x 600mm, grade A15, including frame bedded in mortar",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.1.1,PLUMBING & DRAINAGE,PL.1 WC SUITES,"Close coupled WC suite comprising vitreous china pan, dual flush cistern (6/3L), seat and cover, complete with flush pipe, soil connector, fixing bolts, all white",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
